token,top_100_comment_count,rank_300_500_comment_count,top_100_comments_per_1000,rank_300_500_comments_per_1000,comments_per_1000_diff,rate_ratio,dominant_group
make,57,313,23.47,67.14,-43.67,0.3495,rank_300_500
good,177,193,72.87,41.4,31.47,1.7602,top_100
character,14,158,5.76,33.89,-28.13,0.1701,rank_300_500
like,97,316,39.93,67.78,-27.85,0.5892,rank_300_500
crashes,101,87,41.58,18.66,22.92,2.2282,top_100
crash,106,97,43.64,20.81,22.83,2.0974,top_100
love,47,182,19.35,39.04,-19.69,0.4956,rank_300_500
she,3,96,1.24,20.59,-19.36,0.06,rank_300_500
sanity,1,91,0.41,19.52,-19.11,0.0211,rank_300_500
think,22,127,9.06,27.24,-18.18,0.3325,rank_300_500
shift,41,1,16.88,0.21,16.66,78.6916,top_100
work,175,259,72.05,55.56,16.49,1.2968,top_100
should,27,119,11.12,25.53,-14.41,0.4355,rank_300_500
being,12,87,4.94,18.66,-13.72,0.2647,rank_300_500
show,51,34,21.0,7.29,13.7,2.879,top_100
it's,71,200,29.23,42.9,-13.67,0.6814,rank_300_500
night,5,73,2.06,15.66,-13.6,0.1315,rank_300_500
damage,4,71,1.65,15.23,-13.58,0.1081,rank_300_500
don't,65,187,26.76,40.11,-13.35,0.6671,rank_300_500
know,40,139,16.47,29.82,-13.35,0.5523,rank_300_500
i'm,39,137,16.06,29.39,-13.33,0.5464,rank_300_500
time,50,158,20.58,33.89,-13.31,0.6074,rank_300_500
other,49,156,20.17,33.46,-13.29,0.6029,rank_300_500
something,20,97,8.23,20.81,-12.57,0.3957,rank_300_500
com,50,153,20.58,32.82,-12.23,0.6272,rank_300_500
up,46,145,18.94,31.1,-12.16,0.6089,rank_300_500
stack,41,22,16.88,4.72,12.16,3.5769,top_100
inactive,29,0,11.94,0.0,11.94,,top_100
nice,92,121,37.88,25.95,11.92,1.4593,top_100
characters,5,64,2.06,13.73,-11.67,0.1499,rank_300_500
i'll,2,56,0.82,12.01,-11.19,0.0685,rank_300_500
maybe,22,93,9.06,19.95,-10.89,0.454,rank_300_500
making,19,87,7.82,18.66,-10.84,0.4192,rank_300_500
person,32,11,13.17,2.36,10.81,5.5834,top_100
server,83,110,34.17,23.6,10.58,1.4482,top_100
eyes,0,47,0.0,10.08,-10.08,0.0,rank_300_500
play,24,93,9.88,19.95,-10.07,0.4953,rank_300_500
thanks,73,185,30.05,39.68,-9.63,0.7573,rank_300_500
lua,59,69,24.29,14.8,9.49,1.6411,top_100
that's,10,63,4.12,13.51,-9.4,0.3047,rank_300_500
insane,2,47,0.82,10.08,-9.26,0.0817,rank_300_500
doesn't,74,99,30.47,21.24,9.23,1.4346,top_100
cool,16,73,6.59,15.66,-9.07,0.4207,rank_300_500
hi,10,61,4.12,13.08,-8.97,0.3146,rank_300_500
see,34,107,14.0,22.95,-8.95,0.6099,rank_300_500
someone,9,59,3.71,12.66,-8.95,0.2928,rank_300_500
problem,28,95,11.53,20.38,-8.85,0.5657,rank_300_500
black,3,47,1.24,10.08,-8.85,0.1225,rank_300_500
need,43,123,17.7,26.38,-8.68,0.671,rank_300_500
ok,10,59,4.12,12.66,-8.54,0.3253,rank_300_500
give,6,51,2.47,10.94,-8.47,0.2258,rank_300_500
sure,18,74,7.41,15.87,-8.46,0.4669,rank_300_500
won't,35,28,14.41,6.01,8.4,2.3991,top_100
wand,0,39,0.0,8.37,-8.37,0.0,rank_300_500
marble,1,40,0.41,8.58,-8.17,0.048,rank_300_500
normal,6,49,2.47,10.51,-8.04,0.235,rank_300_500
during,2,41,0.82,8.79,-7.97,0.0936,rank_300_500
want,37,107,15.23,22.95,-7.72,0.6637,rank_300_500
bob,51,62,21.0,13.3,7.7,1.5788,top_100
fun,5,45,2.06,9.65,-7.59,0.2133,rank_300_500
scripts,34,30,14.0,6.44,7.56,2.1752,top_100
wilson,23,9,9.47,1.93,7.54,4.9049,top_100
method,28,19,11.53,4.08,7.45,2.8285,top_100
i've,16,65,6.59,13.94,-7.36,0.4724,rank_300_500
finally,3,40,1.24,8.58,-7.34,0.1439,rank_300_500
gone,2,38,0.82,8.15,-7.33,0.101,rank_300_500
white,0,34,0.0,7.29,-7.29,0.0,rank_300_500
help,21,74,8.65,15.87,-7.23,0.5447,rank_300_500
map,48,59,19.76,12.66,7.11,1.5615,top_100
working,66,94,27.17,20.16,7.01,1.3476,top_100
again,16,63,6.59,13.51,-6.93,0.4874,rank_300_500
put,16,63,6.59,13.51,-6.93,0.4874,rank_300_500
charlie,1,34,0.41,7.29,-6.88,0.0565,rank_300_500
chara,0,32,0.0,6.86,-6.86,0.0,rank_300_500
useful,39,43,16.06,9.22,6.83,1.7408,top_100
click,29,24,11.94,5.15,6.79,2.3192,top_100
hope,19,68,7.82,14.59,-6.76,0.5363,rank_300_500
first,6,43,2.47,9.22,-6.75,0.2678,rank_300_500
attack,5,41,2.06,8.79,-6.74,0.2341,rank_300_500
friend,5,41,2.06,8.79,-6.74,0.2341,rank_300_500
hp,2,35,0.82,7.51,-6.68,0.1097,rank_300_500
cute,0,31,0.0,6.65,-6.65,0.0,rank_300_500
already,10,50,4.12,10.73,-6.61,0.3839,rank_300_500
hey,9,48,3.71,10.3,-6.59,0.3599,rank_300_500
modmain,28,23,11.53,4.93,6.59,2.3365,top_100
caves,30,27,12.35,5.79,6.56,2.1326,top_100
hunger,2,34,0.82,7.29,-6.47,0.1129,rank_300_500
though,13,55,5.35,11.8,-6.45,0.4537,rank_300_500
frisk,0,30,0.0,6.44,-6.44,0.0,rank_300_500
food,20,68,8.23,14.59,-6.35,0.5645,rank_300_500
because,44,114,18.11,24.45,-6.34,0.7408,rank_300_500
start,6,41,2.47,8.79,-6.32,0.2809,rank_300_500
little,5,39,2.06,8.37,-6.31,0.2461,rank_300_500
https,40,106,16.47,22.74,-6.27,0.7243,rank_300_500
kinda,1,31,0.41,6.65,-6.24,0.0619,rank_300_500
attempt,24,17,9.88,3.65,6.23,2.7096,top_100
norm,0,29,0.0,6.22,-6.22,0.0,rank_300_500
straining,0,29,0.0,6.22,-6.22,0.0,rank_300_500
tungsten,0,29,0.0,6.22,-6.22,0.0,rank_300_500
boss,10,48,4.12,10.3,-6.18,0.3999,rank_300_500
idea,8,44,3.29,9.44,-6.14,0.349,rank_300_500
same,32,90,13.17,19.31,-6.13,0.6824,rank_300_500
op,6,40,2.47,8.58,-6.11,0.2879,rank_300_500
slot,2,32,0.82,6.86,-6.04,0.12,rank_300_500
machine,0,28,0.0,6.01,-6.01,0.0,rank_300_500
content,25,20,10.29,4.29,6.0,2.3991,top_100
even,35,95,14.41,20.38,-5.97,0.7071,rank_300_500
issue,22,70,9.06,15.02,-5.96,0.6032,rank_300_500
awesome,8,43,3.29,9.22,-5.93,0.3571,rank_300_500
detailed,18,7,7.41,1.5,5.91,4.9354,top_100
wish,4,35,1.65,7.51,-5.86,0.2193,rank_300_500
use,78,177,32.11,37.97,-5.85,0.8458,rank_300_500
vision,0,27,0.0,5.79,-5.79,0.0,rank_300_500
where,24,73,9.88,15.66,-5.78,0.631,rank_300_500
english,7,40,2.88,8.58,-5.7,0.3359,rank_300_500
tell,6,38,2.47,8.15,-5.68,0.303,rank_300_500
mean,4,34,1.65,7.29,-5.65,0.2258,rank_300_500
log,15,55,6.18,11.8,-5.62,0.5234,rank_300_500
people,14,53,5.76,11.37,-5.6,0.507,rank_300_500
die,1,28,0.41,6.01,-5.59,0.0685,rank_300_500
thank,84,187,34.58,40.11,-5.53,0.8621,rank_300_500
light,6,37,2.47,7.94,-5.47,0.3112,rank_300_500
best,32,36,13.17,7.72,5.45,1.7061,top_100
sort,4,33,1.65,7.08,-5.43,0.2326,rank_300_500
max,3,31,1.24,6.65,-5.41,0.1857,rank_300_500
others,3,31,1.24,6.65,-5.41,0.1857,rank_300_500
back,26,75,10.7,16.09,-5.38,0.6654,rank_300_500
thing,13,50,5.35,10.73,-5.37,0.499,rank_300_500
heal,0,25,0.0,5.36,-5.36,0.0,rank_300_500
spoilage,0,25,0.0,5.36,-5.36,0.0,rank_300_500
txt,0,25,0.0,5.36,-5.36,0.0,rank_300_500
actually,11,46,4.53,9.87,-5.34,0.459,rank_300_500
nil,26,25,10.7,5.36,5.34,1.9961,top_100
add,72,163,29.64,34.96,-5.32,0.8478,rank_300_500
stuff,10,44,4.12,9.44,-5.32,0.4362,rank_300_500
needs,8,40,3.29,8.58,-5.29,0.3839,rank_300_500
mobs,18,10,7.41,2.15,5.27,3.4548,top_100
able,18,59,7.41,12.66,-5.25,0.5856,rank_300_500
link,6,36,2.47,7.72,-5.25,0.3199,rank_300_500
save,19,12,7.82,2.57,5.25,3.0389,top_100
lot,16,55,6.59,11.8,-5.21,0.5583,rank_300_500
translation,3,30,1.24,6.44,-5.2,0.1919,rank_300_500
pls,15,53,6.18,11.37,-5.19,0.5432,rank_300_500
reply,0,24,0.0,5.15,-5.15,0.0,rank_300_500
update,114,195,46.93,41.83,5.11,1.1221,top_100
around,10,43,4.12,9.22,-5.11,0.4464,rank_300_500
makes,19,60,7.82,12.87,-5.05,0.6078,rank_300_500
chest,18,11,7.41,2.36,5.05,3.1407,top_100
never,6,35,2.47,7.51,-5.04,0.329,rank_300_500
found,18,58,7.41,12.44,-5.03,0.5956,rank_300_500
made,46,65,18.94,13.94,5.0,1.3583,top_100
few,4,31,1.65,6.65,-5.0,0.2477,rank_300_500
red,2,27,0.82,5.79,-4.97,0.1422,rank_300_500
winter,2,27,0.82,5.79,-4.97,0.1422,rank_300_500
played,1,25,0.41,5.36,-4.95,0.0768,rank_300_500
sanji,0,23,0.0,4.93,-4.93,0.0,rank_300_500
error,41,56,16.88,12.01,4.87,1.4052,top_100
helpful,16,8,6.59,1.72,4.87,3.8386,top_100
large,16,8,6.59,1.72,4.87,3.8386,top_100
crashing,31,37,12.76,7.94,4.83,1.6081,top_100
much,43,105,17.7,22.52,-4.82,0.786,rank_300_500
pastebin,4,30,1.65,6.44,-4.79,0.2559,rank_300_500
yeah,4,30,1.65,6.44,-4.79,0.2559,rank_300_500
go,16,53,6.59,11.37,-4.78,0.5794,rank_300_500
value,21,18,8.65,3.86,4.78,2.2392,top_100
copy,59,91,24.29,19.52,4.77,1.2444,top_100
http,3,28,1.24,6.01,-4.77,0.2056,rank_300_500
