creator_id,mod_count,total_subscriptions,avg_subscriptions,median_subscriptions,avg_positive_rate,avg_maintenance_days,tag_breadth
76561198943679454,19,473601,24926.37,6649.00,0.954784,277.84,6
76561198428738345,26,472515,18173.65,1539.00,0.961050,175.46,6
76561198022694259,7,466930,66704.29,61680.00,0.914529,1103.71,9
76561198295389202,5,459468,91893.60,10713.00,0.919080,1476.80,1
76561198313183439,1,449881,449881.00,449881.00,0.968900,50.00,2
76561198223179244,9,447848,49760.89,8956.00,0.850811,808.22,8
76561198132027485,13,439927,33840.54,13199.00,0.967931,913.92,12
76561198416328298,2,439836,219918.00,219918.00,0.980000,1763.50,4
76561198976775947,11,437613,39783.00,4541.00,0.960020,263.82,4
76561198141846200,9,435679,48408.78,3718.00,0.962100,145.56,7
76561198060009587,2,435599,217799.50,217799.50,0.988200,3156.50,3
76561197962288361,3,429257,143085.67,37639.00,0.962533,347.67,6
76561198126473383,24,428326,17846.92,11423.50,0.962771,230.75,6
76561198259345830,36,424747,11798.53,1363.00,0.945467,296.36,13
76561199139704805,20,423862,21193.10,4896.50,0.954310,532.90,10
76561198405035271,1,422548,422548.00,422548.00,0.944800,0.00,3
76561198008781092,17,421181,24775.35,2878.00,0.963453,1304.94,10
76561198194453325,5,420340,84068.00,58349.00,0.858460,19.00,4
76561198088886586,11,416592,37872.00,20363.00,0.942655,1382.82,11
76561198012200806,7,414737,59248.14,1944.00,0.880914,777.00,13
76561198084056287,1,398994,398994.00,398994.00,0.932300,73.00,2
76561198004604229,8,397005,49625.63,198.00,0.978863,1166.75,11
76561197972672805,1,393177,393177.00,393177.00,0.960000,2136.00,4
76561198062720007,7,390138,55734.00,35311.00,0.964514,416.14,10
76561198039814151,1,387939,387939.00,387939.00,0.958900,1.00,1
76561198970805562,22,386219,17555.41,2670.00,0.881764,40.91,3
76561198081045324,2,385783,192891.50,192891.50,0.924400,185.00,5
76561198158293119,27,376554,13946.44,1376.00,0.835319,138.19,11
76561198363386926,5,373289,74657.80,9051.00,0.953360,584.00,5
76561198397747007,24,364452,15185.50,3044.50,0.976692,707.04,2
76561198074627101,23,358509,15587.35,3620.00,0.973957,508.52,10
76561198397541194,2,357738,178869.00,178869.00,0.987900,13.00,2
76561198277113023,2,355695,177847.50,177847.50,0.958500,45.00,2
76561197983080587,1,354463,354463.00,354463.00,0.984500,1393.00,4
76561198206023900,12,349594,29132.83,18258.00,0.948892,1499.00,8
76561198398453893,5,348252,69650.40,5327.00,0.980740,345.40,7
76561198366922677,1,347436,347436.00,347436.00,0.964000,680.00,5
76561198035145758,17,331953,19526.65,3705.00,0.911853,6.65,10
76561198006838480,13,327831,25217.77,4633.00,0.937238,909.69,11
76561198048222787,1,322776,322776.00,322776.00,0.964300,13.00,1
76561198344319495,4,318637,79659.25,4037.00,0.974075,335.25,7
76561198207993621,14,317702,22693.00,1747.00,0.895007,555.00,10
76561198108008740,22,315195,14327.05,1775.50,0.956818,130.05,9
76561198337683822,3,314982,104994.00,1073.00,0.970800,402.00,8
76561198271951717,16,313616,19601.00,760.50,0.954906,235.31,13
76561198019489256,38,311679,8202.08,249.00,0.732072,0.00,3
76561198415481055,4,311029,77757.25,5224.50,0.986833,0.00,4
76561198416094147,2,309261,154630.50,154630.50,0.981050,555.50,6
76561198097315001,1,308979,308979.00,308979.00,0.978300,2626.00,2
76561198271488571,1,308484,308484.00,308484.00,0.977700,0.00,5
76561198042263645,8,308029,38503.63,5305.00,0.964238,516.25,9
76561198322764051,1,306937,306937.00,306937.00,0.980600,562.00,4
76561198423350461,13,305756,23519.69,10632.00,0.953800,173.38,13
76561198074953197,14,300349,21453.50,8577.00,0.940564,111.36,2
76561199061265882,4,300027,75006.75,88408.00,0.944950,529.25,1
76561198152462578,6,297800,49633.33,440.00,0.986020,268.67,6
76561198175505863,50,296742,5934.84,1258.50,0.938712,312.80,14
76561198061448584,4,293151,73287.75,2402.00,0.883800,535.25,4
76561198845311990,3,290630,96876.67,72026.00,0.950000,500.33,1
76561198841594317,16,289259,18078.69,3710.50,0.941069,144.56,3
76561198196583885,6,289178,48196.33,25423.00,0.891860,104.50,7
76561198968607215,2,288751,144375.50,144375.50,0.980600,1775.00,2
76561198281619140,25,286725,11469.00,1591.00,0.914156,173.56,13
76561198238557176,5,276716,55343.20,35560.00,0.911860,0.00,3
76561198236541204,2,276586,138293.00,138293.00,0.978950,23.00,3
76561198370482502,7,269892,38556.00,10279.00,0.961914,412.71,10
76561198220617051,16,261802,16362.63,5443.00,0.930450,344.06,6
76561198016999198,12,261753,21812.75,15204.00,0.963983,69.58,5
76561198047913142,1,261616,261616.00,261616.00,0.952700,391.00,4
76561198383262684,29,260043,8967.00,864.00,0.981896,231.17,11
76561198847497104,20,255300,12765.00,1534.50,0.970195,463.85,2
76561198080900628,2,251804,125902.00,125902.00,0.930650,653.00,6
76561198090706390,50,251730,5034.60,631.00,0.800735,157.64,7
76561198815744299,40,250908,6272.70,1006.00,0.914785,59.80,9
76561198275672111,3,244343,81447.67,63049.00,0.956600,741.33,2
76561198040829603,7,238491,34070.14,10222.00,0.970114,826.71,10
76561198152896462,96,237773,2476.80,490.50,0.928258,700.48,8
