token,top_100_comment_count,rank_300_500_comment_count,top_100_comments_per_1000,rank_300_500_comments_per_1000,comments_per_1000_diff,rate_ratio,dominant_group
make,57,313,23.47,67.14,-43.67,0.3495,rank_300_500
character,14,158,5.76,33.89,-28.13,0.1701,rank_300_500
like,97,316,39.93,67.78,-27.85,0.5892,rank_300_500
love,47,182,19.35,39.04,-19.69,0.4956,rank_300_500
she,3,96,1.24,20.59,-19.36,0.06,rank_300_500
sanity,1,91,0.41,19.52,-19.11,0.0211,rank_300_500
think,22,127,9.06,27.24,-18.18,0.3325,rank_300_500
should,27,119,11.12,25.53,-14.41,0.4355,rank_300_500
being,12,87,4.94,18.66,-13.72,0.2647,rank_300_500
it's,71,200,29.23,42.9,-13.67,0.6814,rank_300_500
night,5,73,2.06,15.66,-13.6,0.1315,rank_300_500
damage,4,71,1.65,15.23,-13.58,0.1081,rank_300_500
don't,65,187,26.76,40.11,-13.35,0.6671,rank_300_500
know,40,139,16.47,29.82,-13.35,0.5523,rank_300_500
i'm,39,137,16.06,29.39,-13.33,0.5464,rank_300_500
time,50,158,20.58,33.89,-13.31,0.6074,rank_300_500
other,49,156,20.17,33.46,-13.29,0.6029,rank_300_500
something,20,97,8.23,20.81,-12.57,0.3957,rank_300_500
com,50,153,20.58,32.82,-12.23,0.6272,rank_300_500
up,46,145,18.94,31.1,-12.16,0.6089,rank_300_500
characters,5,64,2.06,13.73,-11.67,0.1499,rank_300_500
i'll,2,56,0.82,12.01,-11.19,0.0685,rank_300_500
maybe,22,93,9.06,19.95,-10.89,0.454,rank_300_500
making,19,87,7.82,18.66,-10.84,0.4192,rank_300_500
eyes,0,47,0.0,10.08,-10.08,0.0,rank_300_500
play,24,93,9.88,19.95,-10.07,0.4953,rank_300_500
thanks,73,185,30.05,39.68,-9.63,0.7573,rank_300_500
that's,10,63,4.12,13.51,-9.4,0.3047,rank_300_500
insane,2,47,0.82,10.08,-9.26,0.0817,rank_300_500
cool,16,73,6.59,15.66,-9.07,0.4207,rank_300_500
