token,top_100_comment_count,rank_300_500_comment_count,top_100_comments_per_1000,rank_300_500_comments_per_1000,comments_per_1000_diff,rate_ratio,dominant_group
good,177,193,72.87,41.4,31.47,1.7602,top_100
crashes,101,87,41.58,18.66,22.92,2.2282,top_100
crash,106,97,43.64,20.81,22.83,2.0974,top_100
shift,41,1,16.88,0.21,16.66,78.6916,top_100
work,175,259,72.05,55.56,16.49,1.2968,top_100
show,51,34,21.0,7.29,13.7,2.879,top_100
stack,41,22,16.88,4.72,12.16,3.5769,top_100
inactive,29,0,11.94,0.0,11.94,,top_100
nice,92,121,37.88,25.95,11.92,1.4593,top_100
person,32,11,13.17,2.36,10.81,5.5834,top_100
server,83,110,34.17,23.6,10.58,1.4482,top_100
lua,59,69,24.29,14.8,9.49,1.6411,top_100
doesn't,74,99,30.47,21.24,9.23,1.4346,top_100
won't,35,28,14.41,6.01,8.4,2.3991,top_100
bob,51,62,21.0,13.3,7.7,1.5788,top_100
scripts,34,30,14.0,6.44,7.56,2.1752,top_100
wilson,23,9,9.47,1.93,7.54,4.9049,top_100
method,28,19,11.53,4.08,7.45,2.8285,top_100
map,48,59,19.76,12.66,7.11,1.5615,top_100
working,66,94,27.17,20.16,7.01,1.3476,top_100
useful,39,43,16.06,9.22,6.83,1.7408,top_100
click,29,24,11.94,5.15,6.79,2.3192,top_100
modmain,28,23,11.53,4.93,6.59,2.3365,top_100
caves,30,27,12.35,5.79,6.56,2.1326,top_100
attempt,24,17,9.88,3.65,6.23,2.7096,top_100
content,25,20,10.29,4.29,6.0,2.3991,top_100
detailed,18,7,7.41,1.5,5.91,4.9354,top_100
best,32,36,13.17,7.72,5.45,1.7061,top_100
nil,26,25,10.7,5.36,5.34,1.9961,top_100
mobs,18,10,7.41,2.15,5.27,3.4548,top_100
