token,top_100_comment_count,rank_300_500_comment_count,top_100_comments_per_1000,rank_300_500_comments_per_1000,comments_per_1000_diff,rate_ratio,dominant_group
makes,22,52,6.5,10.54,-4.04,0.6168,rank_300_500
craft,16,43,4.73,8.71,-3.99,0.5425,rank_300_500
actually,14,40,4.14,8.11,-3.97,0.5103,rank_300_500
idea,14,40,4.14,8.11,-3.97,0.5103,rank_300_500
art,1,21,0.3,4.26,-3.96,0.0694,rank_300_500
eyes,1,21,0.3,4.26,-3.96,0.0694,rank_300_500
players,12,37,3.55,7.5,-3.95,0.4728,rank_300_500
minimap,16,4,4.73,0.81,3.92,5.8316,top_100
size,16,4,4.73,0.81,3.92,5.8316,top_100
made,55,61,16.25,12.36,3.89,1.3145,top_100
boss,15,41,4.43,8.31,-3.88,0.5334,rank_300_500
anime,0,19,0.0,3.85,-3.85,0.0,rank_300_500
ghost,0,19,0.0,3.85,-3.85,0.0,rank_300_500
gir,0,19,0.0,3.85,-3.85,0.0,rank_300_500
vision,0,19,0.0,3.85,-3.85,0.0,rank_300_500
won't,37,35,10.93,7.09,3.84,1.5412,top_100
i'd,11,35,3.25,7.09,-3.84,0.4582,rank_300_500
stackable,13,0,3.84,0.0,3.84,,top_100
done,7,29,2.07,5.88,-3.81,0.3519,rank_300_500
xd,7,29,2.07,5.88,-3.81,0.3519,rank_300_500
drop,14,39,4.14,7.9,-3.77,0.5233,rank_300_500
played,3,23,0.89,4.66,-3.77,0.1902,rank_300_500
click,34,31,10.04,6.28,3.76,1.599,top_100
level,1,20,0.3,4.05,-3.76,0.0729,rank_300_500
scripts,49,53,14.48,10.74,3.74,1.3479,top_100
configuration,8,30,2.36,6.08,-3.72,0.3888,rank_300_500
en,16,5,4.73,1.01,3.71,4.6653,top_100
others,6,27,1.77,5.47,-3.7,0.324,rank_300_500
someone,17,43,5.02,8.71,-3.69,0.5764,rank_300_500
enjoy,4,24,1.18,4.86,-3.68,0.243,rank_300_500
reply,4,24,1.18,4.86,-3.68,0.243,rank_300_500
stuff,13,37,3.84,7.5,-3.66,0.5122,rank_300_500
black,2,21,0.59,4.26,-3.66,0.1388,rank_300_500
dog,0,18,0.0,3.65,-3.65,0.0,rank_300_500
replica,13,1,3.84,0.2,3.64,18.9527,top_100
local,26,20,7.68,4.05,3.63,1.8953,top_100
hope,29,60,8.57,12.16,-3.59,0.7047,rank_300_500
patch,5,25,1.48,5.07,-3.59,0.2916,rank_300_500
normal,16,41,4.73,8.31,-3.58,0.5689,rank_300_500
causes,21,13,6.2,2.63,3.57,2.3551,top_100
dark,3,22,0.89,4.46,-3.57,0.1988,rank_300_500
future,3,22,0.89,4.46,-3.57,0.1988,rank_300_500
kill,3,22,0.89,4.46,-3.57,0.1988,rank_300_500
portal,3,22,0.89,4.46,-3.57,0.1988,rank_300_500
hammer,1,19,0.3,3.85,-3.55,0.0767,rank_300_500
penalty,1,19,0.3,3.85,-3.55,0.0767,rank_300_500
new,86,108,25.41,21.88,3.52,1.1609,top_100
same,32,64,9.45,12.97,-3.52,0.729,rank_300_500
sorry,19,45,5.61,9.12,-3.51,0.6156,rank_300_500
lag,20,12,5.91,2.43,3.48,2.4298,top_100
function,33,31,9.75,6.28,3.47,1.552,top_100
become,2,20,0.59,4.05,-3.46,0.1458,rank_300_500
bottles,0,17,0.0,3.44,-3.44,0.0,rank_300_500
pickle,0,17,0.0,3.44,-3.44,0.0,rank_300_500
announce,13,2,3.84,0.41,3.44,9.4764,top_100
another,22,49,6.5,9.93,-3.43,0.6546,rank_300_500
back,33,65,9.75,13.17,-3.42,0.7402,rank_300_500
hard,9,30,2.66,6.08,-3.42,0.4374,rank_300_500
main,9,30,2.66,6.08,-3.42,0.4374,rank_300_500
friend,14,37,4.14,7.5,-3.36,0.5516,rank_300_500
fish,1,18,0.3,3.65,-3.35,0.081,rank_300_500
head,1,18,0.3,3.65,-3.35,0.081,rank_300_500
rate,1,18,0.3,3.65,-3.35,0.081,rank_300_500
next,12,34,3.55,6.89,-3.34,0.5146,rank_300_500
lol,10,31,2.95,6.28,-3.33,0.4703,rank_300_500
wish,10,31,2.95,6.28,-3.33,0.4703,rank_300_500
changes,8,28,2.36,5.67,-3.31,0.4165,rank_300_500
fast,8,28,2.36,5.67,-3.31,0.4165,rank_300_500
anymore,42,45,12.41,9.12,3.29,1.3607,top_100
always,17,41,5.02,8.31,-3.29,0.6045,rank_300_500
caves,33,32,9.75,6.48,3.26,1.5035,top_100
ring,0,16,0.0,3.24,-3.24,0.0,rank_300_500
suit,0,16,0.0,3.24,-3.24,0.0,rank_300_500
that's,18,42,5.32,8.51,-3.19,0.6248,rank_300_500
download,30,28,8.86,5.67,3.19,1.562,top_100
crashing,43,47,12.7,9.52,3.18,1.3338,top_100
backpack,5,23,1.48,4.66,-3.18,0.3169,rank_300_500
farm,5,23,1.48,4.66,-3.18,0.3169,rank_300_500
san,3,20,0.89,4.05,-3.17,0.2187,rank_300_500
wilson,21,15,6.2,3.04,3.16,2.0411,top_100
item,34,34,10.04,6.89,3.15,1.4579,top_100
bearger,1,17,0.3,3.44,-3.15,0.0858,rank_300_500
deerclops,1,17,0.3,3.44,-3.15,0.0858,rank_300_500
muy,12,2,3.55,0.41,3.14,8.7474,top_100
without,34,65,10.04,13.17,-3.13,0.7626,rank_300_500
being,23,49,6.79,9.93,-3.13,0.6843,rank_300_500
playing,23,49,6.79,9.93,-3.13,0.6843,rank_300_500
thought,6,24,1.77,4.86,-3.09,0.3645,rank_300_500
tradu,4,21,1.18,4.26,-3.07,0.2777,rank_300_500
config,13,34,3.84,6.89,-3.05,0.5574,rank_300_500
announcements,11,1,3.25,0.2,3.05,16.0369,top_100
punch,11,1,3.25,0.2,3.05,16.0369,top_100
she's,0,15,0.0,3.04,-3.04,0.0,rank_300_500
ws,0,15,0.0,3.04,-3.04,0.0,rank_300_500
disabling,13,4,3.84,0.81,3.03,4.7382,top_100
status,17,10,5.02,2.03,3.0,2.4784,top_100
once,14,35,4.14,7.09,-2.96,0.5832,rank_300_500
insane,3,19,0.89,3.85,-2.96,0.2302,rank_300_500
low,1,16,0.3,3.24,-2.95,0.0911,rank_300_500
rog,1,16,0.3,3.24,-2.95,0.0911,rank_300_500
saitama,10,0,2.95,0.0,2.95,,top_100
currently,12,32,3.55,6.48,-2.94,0.5467,rank_300_500
figure,14,6,4.14,1.22,2.92,3.4018,top_100
live,14,6,4.14,1.22,2.92,3.4018,top_100
possible,32,61,9.45,12.36,-2.91,0.7648,rank_300_500
due,8,26,2.36,5.27,-2.91,0.4486,rank_300_500
ui,8,26,2.36,5.27,-2.91,0.4486,rank_300_500
try,43,77,12.7,15.6,-2.9,0.8142,rank_300_500
functionality,18,12,5.32,2.43,2.89,2.1869,top_100
appreciate,6,23,1.77,4.66,-2.89,0.3803,rank_300_500
table,20,15,5.91,3.04,2.87,1.9439,top_100
seem,15,36,4.43,7.29,-2.86,0.6075,rank_300_500
best,46,53,13.59,10.74,2.85,1.2653,top_100
better,13,33,3.84,6.69,-2.85,0.5743,rank_300_500
updates,13,33,3.84,6.69,-2.85,0.5743,rank_300_500
armor,2,17,0.59,3.44,-2.85,0.1715,rank_300_500
fixing,2,17,0.59,3.44,-2.85,0.1715,rank_300_500
pushed,0,14,0.0,2.84,-2.84,0.0,rank_300_500
session,0,14,0.0,2.84,-2.84,0.0,rank_300_500
summer,0,14,0.0,2.84,-2.84,0.0,rank_300_500
recently,24,21,7.09,4.26,2.83,1.6662,top_100
beard,13,5,3.84,1.01,2.83,3.7905,top_100
controller,13,5,3.84,1.01,2.83,3.7905,top_100
spawn,9,27,2.66,5.47,-2.81,0.486,rank_300_500
beefalo,15,8,4.43,1.62,2.81,2.7336,top_100
data,15,8,4.43,1.62,2.81,2.7336,top_100
ability,5,21,1.48,4.26,-2.78,0.3471,rank_300_500
between,5,21,1.48,4.26,-2.78,0.3471,rank_300_500
stay,5,21,1.48,4.26,-2.78,0.3471,rank_300_500
forums,3,18,0.89,3.65,-2.76,0.243,rank_300_500
suggestion,3,18,0.89,3.65,-2.76,0.243,rank_300_500
esta,10,1,2.95,0.2,2.75,14.579,top_100
juego,10,1,2.95,0.2,2.75,14.579,top_100
shield,10,1,2.95,0.2,2.75,14.579,top_100
un,10,1,2.95,0.2,2.75,14.579,top_100
help,36,66,10.64,13.37,-2.74,0.7952,rank_300_500
beautiful,1,15,0.3,3.04,-2.74,0.0972,rank_300_500
berries,1,15,0.3,3.04,-2.74,0.0972,rank_300_500
destroyed,1,15,0.3,3.04,-2.74,0.0972,rank_300_500
form,1,15,0.3,3.04,-2.74,0.0972,rank_300_500
machine,1,15,0.3,3.04,-2.74,0.0972,rank_300_500
track,1,15,0.3,3.04,-2.74,0.0972,rank_300_500
world,47,82,13.88,16.62,-2.73,0.8356,rank_300_500
keep,23,47,6.79,9.52,-2.73,0.7134,rank_300_500
rocks,12,4,3.55,0.81,2.73,4.3737,top_100
soon,10,28,2.95,5.67,-2.72,0.5207,rank_300_500
fine,21,44,6.2,8.92,-2.71,0.6958,rank_300_500
may,21,44,6.2,8.92,-2.71,0.6958,rank_300_500
respect,16,10,4.73,2.03,2.7,2.3326,top_100
transfer,16,10,4.73,2.03,2.7,2.3326,top_100
press,18,13,5.32,2.63,2.68,2.0186,top_100
bottle,4,19,1.18,3.85,-2.67,0.3069,rank_300_500
lost,4,19,1.18,3.85,-2.67,0.3069,rank_300_500
each,15,35,4.43,7.09,-2.66,0.6248,rank_300_500
actionqueue,9,0,2.66,0.0,2.66,,top_100
lower,2,16,0.59,3.24,-2.65,0.1822,rank_300_500
per,2,16,0.59,3.24,-2.65,0.1822,rank_300_500
didn't,13,32,3.84,6.48,-2.64,0.5923,rank_300_500
nothing,13,32,3.84,6.48,-2.64,0.5923,rank_300_500
alt,11,3,3.25,0.61,2.64,5.3456,top_100
campfire,11,3,3.25,0.61,2.64,5.3456,top_100
personal,11,3,3.25,0.61,2.64,5.3456,top_100
somehow,11,3,3.25,0.61,2.64,5.3456,top_100
star,11,3,3.25,0.61,2.64,5.3456,top_100
comment,11,29,3.25,5.88,-2.63,0.553,rank_300_500
anchor,0,13,0.0,2.63,-2.63,0.0,rank_300_500
blade,0,13,0.0,2.63,-2.63,0.0,rank_300_500
haruz,0,13,0.0,2.63,-2.63,0.0,rank_300_500
quotes,0,13,0.0,2.63,-2.63,0.0,rank_300_500
scout,0,13,0.0,2.63,-2.63,0.0,rank_300_500
skills,0,13,0.0,2.63,-2.63,0.0,rank_300_500
compatible,20,42,5.91,8.51,-2.6,0.6942,rank_300_500
tried,20,42,5.91,8.51,-2.6,0.6942,rank_300_500
near,5,20,1.48,4.05,-2.58,0.3645,rank_300_500
effect,3,17,0.89,3.44,-2.56,0.2573,rank_300_500
russian,3,17,0.89,3.44,-2.56,0.2573,rank_300_500
problem,49,84,14.48,17.02,-2.55,0.8504,rank_300_500
burning,10,2,2.95,0.41,2.55,7.2895,top_100
wormhole,10,2,2.95,0.41,2.55,7.2895,top_100
freezes,1,14,0.3,2.84,-2.54,0.1041,rank_300_500
giving,1,14,0.3,2.84,-2.54,0.1041,rank_300_500
overpowered,1,14,0.3,2.84,-2.54,0.1041,rank_300_500
big,12,30,3.55,6.08,-2.53,0.5832,rank_300_500
guys,10,27,2.95,5.47,-2.52,0.54,rank_300_500
chest,14,8,4.14,1.62,2.51,2.5513,top_100
regards,14,8,4.14,1.62,2.51,2.5513,top_100
