rank_group,group_label,selected_mod_count,mods_with_comments,comment_count,tokenized_comment_count,mod_coverage_pct,tokenized_comment_share_pct,avg_comments_per_collected_mod
top_100,Top 100,2,0,0,0,0.0,0.0,0.0
rank_300_500,Rank 300-500,0,0,0,0,0.0,0.0,0.0
