rank_group,group_label,selected_mod_count,mods_with_comments,comment_count,tokenized_comment_count,mod_coverage_pct,tokenized_comment_share_pct,avg_comments_per_collected_mod
top_100,Top 100,100,18,1742,1035,18.0,59.41,96.78
rank_300_500,Rank 300-500,201,25,2295,1814,12.44,79.04,91.8
