token,top_100_comment_count,rank_300_500_comment_count,top_100_comments_per_1000,rank_300_500_comments_per_1000,comments_per_1000_diff,rate_ratio,dominant_group
mobs,8,1,7.73,0.55,7.18,14.0213,top_100
darkness,0,13,0.0,7.17,-7.17,0.0,rank_300_500
furniture,0,13,0.0,7.17,-7.17,0.0,rank_300_500
hey,4,20,3.86,11.03,-7.16,0.3505,rank_300_500
start,4,20,3.86,11.03,-7.16,0.3505,rank_300_500
nil,13,10,12.56,5.51,7.05,2.2785,top_100
everything,9,3,8.7,1.65,7.04,5.258,top_100
gaming,9,3,8.7,1.65,7.04,5.258,top_100
stuff,3,18,2.9,9.92,-7.02,0.2921,rank_300_500
useful,14,12,13.53,6.62,6.91,2.0448,top_100
storage,10,5,9.66,2.76,6.91,3.5053,top_100
little,2,16,1.93,8.82,-6.89,0.2191,rank_300_500
option,18,44,17.39,24.26,-6.86,0.717,rank_300_500
great,30,65,28.99,35.83,-6.85,0.8089,rank_300_500
slots,11,7,10.63,3.86,6.77,2.7542,top_100
found,5,21,4.83,11.58,-6.75,0.4173,rank_300_500
actions,8,2,7.73,1.1,6.63,7.0106,top_100
upvalue,8,2,7.73,1.1,6.63,7.0106,top_100
come,0,12,0.0,6.62,-6.62,0.0,rank_300_500
single,0,12,0.0,6.62,-6.62,0.0,rank_300_500
might,4,19,3.86,10.47,-6.61,0.369,rank_300_500
remove,9,4,8.7,2.21,6.49,3.9435,top_100
tail,9,4,8.7,2.21,6.49,3.9435,top_100
gem,3,17,2.9,9.37,-6.47,0.3093,rank_300_500
two,3,17,2.9,9.37,-6.47,0.3093,rank_300_500
used,3,17,2.9,9.37,-6.47,0.3093,rank_300_500
down,2,15,1.93,8.27,-6.34,0.2337,rank_300_500
kind,2,15,1.93,8.27,-6.34,0.2337,rank_300_500
say,2,15,1.93,8.27,-6.34,0.2337,rank_300_500
stop,2,15,1.93,8.27,-6.34,0.2337,rank_300_500
wait,2,15,1.93,8.27,-6.34,0.2337,rank_300_500
fine,6,22,5.8,12.13,-6.33,0.478,rank_300_500
date,7,1,6.76,0.55,6.21,12.2686,top_100
global,7,1,6.76,0.55,6.21,12.2686,top_100
already,1,13,0.97,7.17,-6.2,0.1348,rank_300_500
i've,9,27,8.7,14.88,-6.19,0.5842,rank_300_500
want,17,41,16.43,22.6,-6.18,0.7267,rank_300_500
backpack,8,3,7.73,1.65,6.08,4.6738,top_100
beard,8,3,7.73,1.65,6.08,4.6738,top_100
controller,8,3,7.73,1.65,6.08,4.6738,top_100
adult,0,11,0.0,6.06,-6.06,0.0,rank_300_500
dies,0,11,0.0,6.06,-6.06,0.0,rank_300_500
grow,0,11,0.0,6.06,-6.06,0.0,rank_300_500
person,0,11,0.0,6.06,-6.06,0.0,rank_300_500
purpose,0,11,0.0,6.06,-6.06,0.0,rank_300_500
si,0,11,0.0,6.06,-6.06,0.0,rank_300_500
english,7,23,6.76,12.68,-5.92,0.5334,rank_300_500
added,3,16,2.9,8.82,-5.92,0.3286,rank_300_500
characters,3,16,2.9,8.82,-5.92,0.3286,rank_300_500
ctrl,3,16,2.9,8.82,-5.92,0.3286,rank_300_500
turn,3,16,2.9,8.82,-5.92,0.3286,rank_300_500
xd,3,16,2.9,8.82,-5.92,0.3286,rank_300_500
crashed,2,14,1.93,7.72,-5.79,0.2504,rank_300_500
placement,2,14,1.93,7.72,-5.79,0.2504,rank_300_500
point,2,14,1.93,7.72,-5.79,0.2504,rank_300_500
amazing,6,21,5.8,11.58,-5.78,0.5008,rank_300_500
bom,6,21,5.8,11.58,-5.78,0.5008,rank_300_500
damage,6,21,5.8,11.58,-5.78,0.5008,rank_300_500
look,10,28,9.66,15.44,-5.77,0.6259,rank_300_500
armor,7,2,6.76,1.1,5.66,6.1343,top_100
changing,1,12,0.97,6.62,-5.65,0.1461,rank_300_500
creator,1,12,0.97,6.62,-5.65,0.1461,rank_300_500
crock,1,12,0.97,6.62,-5.65,0.1461,rank_300_500
super,1,12,0.97,6.62,-5.65,0.1461,rank_300_500
inventory,12,11,11.59,6.06,5.53,1.912,top_100
cave,8,4,7.73,2.21,5.52,3.5053,top_100
however,4,17,3.86,9.37,-5.51,0.4124,rank_300_500
longer,4,17,3.86,9.37,-5.51,0.4124,rank_300_500
adjust,0,10,0.0,5.51,-5.51,0.0,rank_300_500
along,0,10,0.0,5.51,-5.51,0.0,rank_300_500
chaos,0,10,0.0,5.51,-5.51,0.0,rank_300_500
