creator_id,mod_count,total_subscriptions,avg_subscriptions,median_subscriptions,avg_positive_rate,avg_maintenance_days,tag_breadth,author_rank,productivity_bucket,share_of_total_subscriptions_pct,cumulative_subscriptions,cumulative_share_pct,concentration_band
76561198092843751,22,991131,45051.41,36302.0,0.947255,932.27,6,44,10+,0.3627,139843230,51.1798,top_1pct_other
76561198405448255,4,985334,246333.5,82706.0,0.975625,837.75,5,45,4-9,0.3606,140828564,51.5404,top_1pct_other
76561198817463174,13,973657,74896.69,11040.0,0.968508,386.77,10,46,10+,0.3563,141802221,51.8967,top_1pct_other
76561198326489103,1,956244,956244.0,956244.0,0.979,2396.0,4,47,1,0.35,142758465,52.2467,top_1pct_other
76561198029173411,4,932782,233195.5,53674.5,0.93575,601.25,7,48,4-9,0.3414,143691247,52.5881,top_1pct_other
76561198039069920,27,927199,34340.7,6382.0,0.919467,85.67,12,49,10+,0.3393,144618446,52.9274,top_1pct_other
76561198046734376,2,902179,451089.5,451089.5,0.94595,1.0,4,50,2-3,0.3302,145520625,53.2576,top_1pct_other
76561198423073837,4,876114,219028.5,12908.0,0.963375,537.75,3,51,4-9,0.3206,146396739,53.5782,top_1pct_other
76561198051415780,20,860435,43021.75,2142.0,0.9532,248.35,19,52,10+,0.3149,147257174,53.8931,top_1pct_other
76561198282995459,24,831805,34658.54,20875.5,0.9164,206.17,9,53,10+,0.3044,148088979,54.1976,top_1pct_other
76561198333772442,1,828709,828709.0,828709.0,0.9514,0.0,4,54,1,0.3033,148917688,54.5009,top_1pct_other
76561198426806125,30,826554,27551.8,1937.0,0.9216,125.53,9,55,10+,0.3025,149744242,54.8034,top_1pct_other
76561199022368235,17,815669,47980.53,6976.0,0.924224,565.41,7,56,10+,0.2985,150559911,55.1019,top_1pct_other
76561198416857662,1,797161,797161.0,797161.0,0.9728,1792.0,4,57,1,0.2917,151357072,55.3936,top_1pct_other
76561198020318078,30,773664,25788.8,8066.0,0.94503,1168.47,15,58,10+,0.2831,152130736,55.6768,top_1pct_other
76561198387636532,9,758915,84323.89,20897.0,0.958456,1361.78,9,59,4-9,0.2777,152889651,55.9545,top_1pct_other
76561197971903310,16,750935,46933.44,5401.0,0.917288,158.88,13,60,10+,0.2748,153640586,56.2293,top_1pct_other
76561198246008860,1,721926,721926.0,721926.0,0.9845,2823.0,10,61,1,0.2642,154362512,56.4936,top_1pct_other
76561197991794850,8,698599,87324.88,14582.0,0.962263,406.0,8,62,4-9,0.2557,155061111,56.7492,top_1pct_other
76561198291045782,4,694933,173733.25,17275.5,0.966675,852.5,3,63,4-9,0.2543,155756044,57.0036,top_1pct_other
76561198053787151,8,676455,84556.88,1547.5,0.919025,336.63,7,64,4-9,0.2476,156432499,57.2511,top_1pct_other
76561198161551641,1,675554,675554.0,675554.0,0.9706,354.0,5,65,1,0.2472,157108053,57.4984,top_1pct_other
76561197999920843,3,669129,223043.0,68447.0,0.967767,31.0,6,66,2-3,0.2449,157777182,57.7433,top_1pct_other
76561198092042900,1,660087,660087.0,660087.0,0.9623,743.0,3,67,1,0.2416,158437269,57.9848,top_1pct_other
76561198075237023,1,658550,658550.0,658550.0,0.9788,868.0,5,68,1,0.241,159095819,58.2258,top_1pct_other
76561198286658076,3,656415,218805.0,146682.0,0.9656,92.0,8,69,2-3,0.2402,159752234,58.4661,top_1pct_other
76561198065177018,18,635517,35306.5,17992.0,0.927511,1027.83,12,70,10+,0.2326,160387751,58.6987,top_1pct_other
76561198102311542,27,634345,23494.26,1105.0,0.967741,1214.74,10,71,10+,0.2322,161022096,58.9308,top_1pct_other
76561197993843368,1,627474,627474.0,627474.0,0.9847,697.0,1,72,1,0.2296,161649570,59.1605,top_1pct_other
76561198065732948,30,607406,20246.87,7006.5,0.95751,928.1,14,73,10+,0.2223,162256976,59.3828,top_1pct_other
76561198946689324,5,598930,119786.0,91222.0,0.96078,267.0,2,74,4-9,0.2192,162855906,59.602,top_1pct_other
76561198055851807,2,596382,298191.0,298191.0,0.9019,769.0,9,75,2-3,0.2183,163452288,59.8202,top_1pct_other
76561198067527994,16,596217,37263.56,8917.5,0.938175,1922.06,8,76,10+,0.2182,164048505,60.0384,top_1pct_other
76561198068527487,6,581218,96869.67,83077.0,0.966683,411.33,2,77,4-9,0.2127,164629723,60.2511,top_1pct_other
76561198340559998,3,579491,193163.67,93874.0,0.969833,1025.67,6,78,2-3,0.2121,165209214,60.4632,top_1pct_other
76561198208700148,8,559321,69915.13,74759.0,0.941025,880.13,2,79,4-9,0.2047,165768535,60.6679,top_1pct_other
76561198998029716,5,557498,111499.6,14043.0,0.98448,620.8,4,80,4-9,0.204,166326033,60.872,top_1pct_other
76561198958996672,5,556852,111370.4,128.0,0.94618,151.4,8,81,4-9,0.2038,166882885,61.0758,top_1pct_other
76561198006852614,2,540364,270182.0,270182.0,0.96255,1977.5,8,82,2-3,0.1978,167423249,61.2735,top_1pct_other
76561198121957427,29,538632,18573.52,1431.0,0.778181,276.17,7,83,10+,0.1971,167961881,61.4706,top_1pct_other
76561198281582215,20,537575,26878.75,18996.5,0.901705,50.3,5,84,10+,0.1967,168499456,61.6674,top_1pct_other
76561197963190527,9,527512,58612.44,17286.0,0.960878,214.33,6,85,4-9,0.1931,169026968,61.8604,top_1pct_other
76561198103077369,11,525674,47788.55,2092.0,0.83461,337.55,11,86,10+,0.1924,169552642,62.0528,top_1pct_other
76561198130430187,18,506258,28125.44,3945.5,0.947867,503.56,15,87,10+,0.1853,170058900,62.2381,top_1pct_other
76561198041956312,4,506031,126507.75,122567.5,0.9507,4.0,2,88,4-9,0.1852,170564931,62.4233,top_1pct_other
76561198798193345,4,492781,123195.25,11340.0,0.947625,215.0,3,89,4-9,0.1803,171057712,62.6037,top_1pct_other
76561198281813863,3,490777,163592.33,63847.0,0.960233,373.33,6,90,2-3,0.1796,171548489,62.7833,top_1pct_other
76561198150374303,12,483073,40256.08,368.0,0.740183,1662.75,6,91,10+,0.1768,172031562,62.9601,top_1pct_other
76561198321354108,12,481073,40089.42,9775.0,0.971425,295.58,9,92,10+,0.1761,172512635,63.1361,top_1pct_other
76561198943679454,19,473601,24926.37,6649.0,0.954784,277.84,6,93,10+,0.1733,172986236,63.3095,top_1pct_other
76561198428738345,26,472515,18173.65,1539.0,0.96105,175.46,6,94,10+,0.1729,173458751,63.4824,top_1pct_other
76561198022694259,7,466930,66704.29,61680.0,0.914529,1103.71,9,95,4-9,0.1709,173925681,63.6533,top_1pct_other
76561198295389202,5,459468,91893.6,10713.0,0.91908,1476.8,1,96,4-9,0.1682,174385149,63.8214,top_1pct_other
76561198313183439,1,449881,449881.0,449881.0,0.9689,50.0,2,97,1,0.1646,174835030,63.9861,top_1pct_other
76561198223179244,9,447848,49760.89,8956.0,0.850811,808.22,8,98,4-9,0.1639,175282878,64.15,others
76561198132027485,13,439927,33840.54,13199.0,0.967931,913.92,12,99,10+,0.161,175722805,64.311,others
76561198416328298,2,439836,219918.0,219918.0,0.98,1763.5,4,100,2-3,0.161,176162641,64.472,others
76561198976775947,11,437613,39783.0,4541.0,0.96002,263.82,4,101,10+,0.1602,176600254,64.6321,others
76561198141846200,9,435679,48408.78,3718.0,0.9621,145.56,7,102,4-9,0.1594,177035933,64.7916,others
76561198060009587,2,435599,217799.5,217799.5,0.9882,3156.5,3,103,2-3,0.1594,177471532,64.951,others
76561197962288361,3,429257,143085.67,37639.0,0.962533,347.67,6,104,2-3,0.1571,177900789,65.1081,others
76561198126473383,24,428326,17846.92,11423.5,0.962771,230.75,6,105,10+,0.1568,178329115,65.2648,others
76561198259345830,36,424747,11798.53,1363.0,0.945467,296.36,13,106,10+,0.1554,178753862,65.4203,others
76561199139704805,20,423862,21193.1,4896.5,0.95431,532.9,10,107,10+,0.1551,179177724,65.5754,others
76561198405035271,1,422548,422548.0,422548.0,0.9448,0.0,3,108,1,0.1546,179600272,65.7301,others
76561198008781092,17,421181,24775.35,2878.0,0.963453,1304.94,10,109,10+,0.1541,180021453,65.8842,others
76561198194453325,5,420340,84068.0,58349.0,0.85846,19.0,4,110,4-9,0.1538,180441793,66.038,others
76561198088886586,11,416592,37872.0,20363.0,0.942655,1382.82,11,111,10+,0.1525,180858385,66.1905,others
76561198012200806,7,414737,59248.14,1944.0,0.880914,777.0,13,112,4-9,0.1518,181273122,66.3423,others
76561198084056287,1,398994,398994.0,398994.0,0.9323,73.0,2,113,1,0.146,181672116,66.4883,others
76561198004604229,8,397005,49625.63,198.0,0.978863,1166.75,11,114,4-9,0.1453,182069121,66.6336,others
76561197972672805,1,393177,393177.0,393177.0,0.96,2136.0,4,115,1,0.1439,182462298,66.7775,others
76561198062720007,7,390138,55734.0,35311.0,0.964514,416.14,10,116,4-9,0.1428,182852436,66.9203,others
76561198039814151,1,387939,387939.0,387939.0,0.9589,1.0,1,117,1,0.142,183240375,67.0623,others
76561198970805562,22,386219,17555.41,2670.0,0.881764,40.91,3,118,10+,0.1413,183626594,67.2036,others
76561198081045324,2,385783,192891.5,192891.5,0.9244,185.0,5,119,2-3,0.1412,184012377,67.3448,others
76561198158293119,27,376554,13946.44,1376.0,0.835319,138.19,11,120,10+,0.1378,184388931,67.4826,others
76561198363386926,5,373289,74657.8,9051.0,0.95336,584.0,5,121,4-9,0.1366,184762220,67.6192,others
76561198397747007,24,364452,15185.5,3044.5,0.976692,707.04,2,122,10+,0.1334,185126672,67.7526,others
76561198074627101,23,358509,15587.35,3620.0,0.973957,508.52,10,123,10+,0.1312,185485181,67.8838,others
76561198397541194,2,357738,178869.0,178869.0,0.9879,13.0,2,124,2-3,0.1309,185842919,68.0147,others
76561198277113023,2,355695,177847.5,177847.5,0.9585,45.0,2,125,2-3,0.1302,186198614,68.1449,others
76561197983080587,1,354463,354463.0,354463.0,0.9845,1393.0,4,126,1,0.1297,186553077,68.2746,others
76561198206023900,12,349594,29132.83,18258.0,0.948892,1499.0,8,127,10+,0.1279,186902671,68.4026,others
76561198398453893,5,348252,69650.4,5327.0,0.98074,345.4,7,128,4-9,0.1275,187250923,68.53,others
76561198366922677,1,347436,347436.0,347436.0,0.964,680.0,5,129,1,0.1272,187598359,68.6572,others
76561198035145758,17,331953,19526.65,3705.0,0.911853,6.65,10,130,10+,0.1215,187930312,68.7787,others
76561198006838480,13,327831,25217.77,4633.0,0.937238,909.69,11,131,10+,0.12,188258143,68.8987,others
76561198048222787,1,322776,322776.0,322776.0,0.9643,13.0,1,132,1,0.1181,188580919,69.0168,others
